MOTU	B.plicata_C32	B.plicata_CC10	B.plicata_CC11	B.plicata_CC16	B.plicata_CC19	B.plicata_CC20	B.plicata_CC21	B.plicata_CC22	B.plicata_CC23	B.plicata_CC26	B.plicata_CC27	B.plicata_CC28	B.plicata_CC31	B.plicata_CC33	B.plicata_CC34	B.plicata_CC37	B.plicata_CC38	B.plicata_CC39	B.plicata_CC40	B.plicata_CC41	B.plicata_CC9	B.plicata_R16	B.plicata_R17	B.plicata_R18	B.plicata_R19	B.plicata_R27	B.plicata_R28	B.plicata_R49	B.plicata_R50	B.plicata_R63	B.plicata_R64	G.soricina_H16	G.soricina_H23	G.soricina_J13	G.soricina_J4	G.soricina_K20	G.soricina_K21	G.soricina_L10	G.soricina_L12	G.soricina_R10	G.soricina_R26	G.soricina_R37	G.soricina_R42	G.soricina_R43	G.soricina_R9	G.soricina_S24	G.soricina_S34	G.soricina_S37	G.soricina_S50	G.soricina_T32	L.brachyotis_BB34	L.brachyotis_G38	L.brachyotis_I6	M.brachyotis_F3	M.hirsute_BB25	M.microtis_E17	N.leporhinus_I15	N.leporhinus_Q1	N.stramenious_H22	N.stramenious_K17	P_davyii_K3	P_davyii_T27a	P_mesoamericanus_A4	P_mesoamericanus_AA21	P_mesoamericanus_AA24	P_mesoamericanus_B2	P_mesoamericanus_BB12	P_mesoamericanus_BB21	P_mesoamericanus_BB23	P_mesoamericanus_BB7	P_mesoamericanus_BB8	P_mesoamericanus_G11	P_mesoamericanus_G18	P_mesoamericanus_G19	P_mesoamericanus_G22	P_mesoamericanus_G26	P_mesoamericanus_G30	P_mesoamericanus_G39	P_mesoamericanus_G4	P_mesoamericanus_G43	P_mesoamericanus_G49	P_mesoamericanus_H10	P_mesoamericanus_H12	P_mesoamericanus_H27	P_mesoamericanus_H28	P_mesoamericanus_H30	P_mesoamericanus_H31	P_mesoamericanus_H33	P_mesoamericanus_H35	P_mesoamericanus_H47	P_mesoamericanus_H50	P_mesoamericanus_H51	P_mesoamericanus_H52	P_mesoamericanus_H53	P_mesoamericanus_H54	P_mesoamericanus_H55	P_mesoamericanus_H56	P_mesoamericanus_H57	P_mesoamericanus_H58	P_mesoamericanus_H59	P_mesoamericanus_H61	P_mesoamericanus_H62	P_mesoamericanus_H63	P_mesoamericanus_H64	P_mesoamericanus_H69	P_mesoamericanus_H70	P_mesoamericanus_H71	P_mesoamericanus_H72	P_mesoamericanus_H73	P_mesoamericanus_H76	P_mesoamericanus_H77	P_mesoamericanus_H79	P_mesoamericanus_H80	P_mesoamericanus_H81	P_mesoamericanus_I10	P_mesoamericanus_I8	P_mesoamericanus_K22	P_mesoamericanus_L11	P_mesoamericanus_L13	P_mesoamericanus_R16	P_mesoamericanus_S53	P_mesoamericanus_T17	P_mesoamericanus_T22	P_mesoamericanus_T28	P_mesoamericanus_T43	R.tumida_Q4	S.leucoptera_I4
denovo0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	372	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
denovo1	0	0	0	0	0	0	0	0	0	0	0	0	743	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6305	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
denovo10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	490	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
denovo100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	441	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7817	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
denovo1000	0	0	0	0	1619	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
denovo1001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8720	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	766	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
denovo1002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	768	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
denovo1003	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	568	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
denovo1004	0	0	0	397	0	0	0	0	0	0	1964	0	0	0	0	0	0	0	0	0	0	809	0	0	525	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
denovo1005	0	0	0	0	0	0	2216	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
